Filename,Paradox Percentage,Neighbor Paradox Percentage
barabasi_albert_1_n20768_m118,74.00327426810478,91.51097842835131
barabasi_albert_2_n17928_m58,74.59839357429718,92.7264614011602
barabasi_albert_3_n19260_m139,73.90446521287643,90.7061266874351
barabasi_albert_4_n13554_m140,73.46170872067287,89.61930057547588
barabasi_albert_5_n9705_m44,74.12673879443585,91.80834621329211
barabasi_albert_6_n13166_m35,74.38098131550964,92.88318395868144
barabasi_albert_7_n11241_m81,73.81905524419535,90.91717818699404
barabasi_albert_8_n12628_m37,74.19227114349066,92.72252138105796
erdos_renyi_1_n20768_p0.01,49.5136748844376,53.94838212634823
erdos_renyi_2_n17928_p0.00,51.377733154841586,55.6615350290049
erdos_renyi_3_n19260_p0.01,50.005192107995846,53.94080996884735
erdos_renyi_4_n13554_p0.01,51.94038660174118,53.88077320348237
erdos_renyi_5_n9705_p0.00,52.79752704791345,56.661514683153015
erdos_renyi_6_n13166_p0.00,51.50387361385387,57.458605499012606
erdos_renyi_7_n11241_p0.01,52.557601636865044,54.87945912285384
erdos_renyi_8_n12628_p0.00,52.81913208742477,57.6575863161229
