Filename,Paradox Percentage,Neighbor Paradox Percentage
socfb-Auburn71,62.673460537727664,89.66283607979186
socfb-Berkeley13,62.6288209606987,90.21834061135371
socfb-Bingham82,59.69612155137944,83.11675329868052
socfb-Brown11,58.74418604651163,84.70930232558139
socfb-Cornell5,61.2540192926045,87.49196141479099
socfb-FSU53,63.14309406208314,87.03897321267621
socfb-Harvard1,60.432368107893694,85.73317466613778
socfb-Indiana,61.12269608502623,85.26839768599488
socfb-Michigan23,62.162072511360996,87.49792682522308
socfb-Mississippi66,61.80971390552229,85.27706491778349
socfb-MSU24,62.097297297297295,87.47490347490347
socfb-MU78,59.89893754858772,82.74164291267168
socfb-NYU9,61.548041883850736,89.36759075603118
socfb-Penn94,62.23998459167951,91.53264637904468
socfb-Stanford3,59.20075953737269,85.68962540997755
socfb-Texas80,63.447401774397974,86.97084917617236
socfb-Texas84,64.1761082389176,91.22483775162247
socfb-UF,63.60684685711031,91.10535159921392
socfb-UVA16,60.612933240288434,86.33403117003955
socfb-Virginia63,63.87807737397421,92.72684642438452
socfb-Wisconsin87,60.991985229323156,89.12760689857748
